company,location,state,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions,role,department,employee_type,reason,company_size,source
Freshworks,Hyderabad,Telangana,SaaS,258,0.032,2026-06-13,Post-IPO,India,484,Software Engineer,Engineering,Full-time,Automation,Startup,Synthetic Practice Data
Freshworks,Hyderabad,Telangana,SaaS,725,0.054,2022-02-25,Post-IPO,India,484,Product Manager,Product,Contract,Market conditions,Enterprise,Synthetic Practice Data
TCS,Chennai,Tamil Nadu,IT Services,400,0.21,2021-10-20,Post-IPO,India,0,QA Engineer,Quality Assurance,Contract,Restructuring,Medium,Synthetic Practice Data
Accenture India,Mumbai,Maharashtra,IT Services,152,0.189,2022-01-22,Private,India,0,Sales Executive,Sales,Part-time,Economic slowdown,Enterprise,Synthetic Practice Data
Swiggy,Bengaluru,Karnataka,Food Delivery,1198,0.092,2021-03-26,Post-IPO,India,3600,DevOps Engineer,Engineering,Contract,Business shutdown,Enterprise,Synthetic Practice Data
Udaan,Mumbai,Maharashtra,E-commerce,674,0.067,2023-03-20,Late Stage,India,1200,Operations Executive,Operations,Part-time,Business shutdown,Startup,Synthetic Practice Data
Lenskart,New Delhi,Delhi,Retail,355,0.068,2021-02-24,Late Stage,India,1500,Customer Support Executive,Customer Support,Intern,Economic slowdown,Large,Synthetic Practice Data
Meesho,Mumbai,Maharashtra,E-commerce,28,0.132,2021-01-20,Late Stage,India,1200,Software Engineer,Engineering,Part-time,Automation,Medium,Synthetic Practice Data
Policybazaar,Mumbai,Maharashtra,Financial Services,589,0.037,2021-12-09,Post-IPO,India,800,Business Analyst,Business,Contract,Merger and acquisition,Large,Synthetic Practice Data
Accenture India,Chennai,Tamil Nadu,IT Services,24,0.149,2025-04-12,Private,India,0,QA Engineer,Quality Assurance,Part-time,Restructuring,Startup,Synthetic Practice Data
Zomato,Bengaluru,Karnataka,Food Delivery,862,0.138,2024-03-24,Post-IPO,India,2500,Data Analyst,Analytics,Intern,Business shutdown,Small,Synthetic Practice Data
Moglix,Bengaluru,Karnataka,E-commerce,111,0.125,2023-01-31,Late Stage,India,650,Senior Software Engineer,Engineering,Contract,Performance optimization,Medium,Synthetic Practice Data
Myntra,Mumbai,Maharashtra,E-commerce,98,0.115,2021-02-02,Late Stage,India,500,HR Executive,Human Resources,Part-time,Funding issues,Small,Synthetic Practice Data
Swiggy,Bengaluru,Karnataka,Food Delivery,424,0.228,2025-12-22,Post-IPO,India,3600,Software Engineer,Engineering,Full-time,Economic slowdown,Startup,Synthetic Practice Data
Ather Energy,Bengaluru,Karnataka,Automotive,253,0.13,2022-07-14,Late Stage,India,500,Recruiter,Human Resources,Part-time,Market conditions,Startup,Synthetic Practice Data
